name,ocpc,url,image_url,seed_company_name,seed_company_ocpc,genetics,genetics_cross_ocpc,l
Cotton Candy Bubblegum,9XVU79DW2X000000000000000,https://www.cannabisreports.com/strain-reports/purple-caper-seeds/cotton-candy-bubblegum,https://www.cannabisreports.com/images/strains/no_image.png,Purple Caper Seeds,PHE7M00000000000000000000,Cotton Candy / Bubblegum ???,ZHMH7VYQKJ000000000000000 / VRTEW9D296000000000000000 ???,22
Chocolate Dream Cheese,PHE7MHRYRP000000000000000,https://www.cannabisreports.com/strain-reports/purple-caper-seeds/chocolate-dream-cheese,https://www.cannabisreports.com/images/strains/no_image.png,Purple Caper Seeds,PHE7M00000000000000000000,Blue Dream x Chocolope Cheese,9XVU7PTG2P000000000000000 x PHE7M2XTG6000000000000000,22
Blouie (Louie Blue OG),9XVU7YGVTK000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/blouie-louie-blue-og,https://www.cannabisreports.com/images/strains/0/full_08f98cf7b3b04d1f1412778db512f46d56f8a4c4.jpg,Unknown Breeder,9XVU700000000000000000000,Louis XIII OG / Blue Dream,G3YM7ZAK6V000000000000000 / 9XVU7PTG2P000000000000000,22
Electric Watermelon OG,9XVU7ZHQPG000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/electric-watermelon-og,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,OG Kush,9XVU7GD2AP000000000000000,22
Cherry Special Reserve,KWZ9MRUXRW000000000000000,https://www.cannabisreports.com/strain-reports/aficionado-seeds/cherry-special-reserve,https://www.cannabisreports.com/images/strains/a/full_a848daf399353883335730b9577e89ed76210e91.jpg,Aficionado Seeds,KWZ9M00000000000000000000,Cherry Pie S1 x Chem Dawg (Chemdog),KWZ9MNF7MP000000000000000 x 9XVU762EQ4000000000000000,22
Phantom of the Cookies,6WERQVLT3A000000000000000,https://www.cannabisreports.com/strain-reports/oregon-microgrowers-guild/phantom-of-the-cookies,https://www.cannabisreports.com/images/strains/no_image.png,Oregon Microgrowers Guild,6WERQ00000000000000000000,Phantom Cookies (Pink Champagne) x Girl Scout Cookies,TTM6QFMN9Y000000000000000 x 4KXM32V9YF000000000000000,22
Tutankhamon (King Tut),XNXU4TEVFH000000000000000,https://www.cannabisreports.com/strain-reports/pyramid-seeds/tutankhamon-king-tut,https://www.cannabisreports.com/images/strains/d/full_d72c686bb5562feaacd8140c6453208cf91d9170.jpg,Pyramid Seeds,XNXU400000000000000000000,AK-47,CYGU94JYKY000000000000000,22
Blue Cheese x Skunk #1,WAVLJY6ETM000000000000000,https://www.cannabisreports.com/strain-reports/barneys-farm-seeds/blue-cheese-x-skunk-1,https://www.cannabisreports.com/images/strains/no_image.png,Barney's Farm Seeds,WAVLJ00000000000000000000,Blue Cheese (Barney's Farm) x Skunk #1,WAVLJTP24K000000000000000 x VUJCJY6ZUC000000000000000,22
Cherry Pie x Harlequin,9XVU7AY7YG000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/cherry-pie-x-harlequin,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Cherry Pie (Cherry Kush) x Harlequin,9XVU7ZCENQ000000000000000 x 9XVU7KL2ZR000000000000000,22
Apollo 11 Genuis Pheno,U9XW7KTC3M000000000000000,https://www.cannabisreports.com/strain-reports/bodhi-seeds/apollo-11-genuis-pheno,https://www.cannabisreports.com/images/strains/no_image.png,Bodhi Seeds,U9XW700000000000000000000,Apollo 11,HZU7PPKWNW000000000000000,22
Grape Krush x Skunk #1,MRRNP4PRW6000000000000000,https://www.cannabisreports.com/strain-reports/303-seeds/grape-krush-x-skunk-1,https://www.cannabisreports.com/images/strains/no_image.png,303 Seeds,MRRNP00000000000000000000,Grape Krush x Skunk #1 x Super Silver Sour Diesel Haze,W74AFWX9GZ000000000000000 x VUJCJY6ZUC000000000000000 x 9XVU7L46VE000000000000000,22
Abusive OG x Bogglegum,MRRNPLFEKE000000000000000,https://www.cannabisreports.com/strain-reports/303-seeds/abusive-og-x-bogglegum,https://www.cannabisreports.com/images/strains/no_image.png,303 Seeds,MRRNP00000000000000000000,Abusive OG x Bogglegum,9XVU7FDUD6000000000000000 x 3F64F6E2P4000000000000000,22
Passion Fruit Pancakes,9XVU7UMETG000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/passion-fruit-pancakes,https://www.cannabisreports.com/images/strains/c/full_c4193ccf9e9335b825c5e91cd07d95bd9b7b7301.jpg,Unknown Breeder,9XVU700000000000000000000,Ambrosia x Super Lemon Haze,ZRGKM6VRFM000000000000000 x K3TYMTKC9M000000000000000,22
Interstellar Overdrive,U9XW7VTYW7000000000000000,https://www.cannabisreports.com/strain-reports/bodhi-seeds/interstellar-overdrive,https://www.cannabisreports.com/images/strains/4/full_4335678b5c38bfef3a454744fa0d569397c03d45.jpg,Bodhi Seeds,U9XW700000000000000000000,Satori,HFMW3NK7FZ000000000000000,22
Kushberry x Trainwreck,9XVU7QFTFV000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/kushberry-x-trainwreck,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Kushberry (Blueberry Kush) x Trainwreck,TTUYN23C79000000000000000 x 9XVU76K2ZH000000000000000,22
Grape Punch (The Bank),QK29NPXYKF000000000000000,https://www.cannabisreports.com/strain-reports/the-bank-cannabis-genetics/grape-punch-the-bank,https://www.cannabisreports.com/images/strains/5/full_5775829963d460d6c9b8b60e69fa777f77b721f5.jpg,The Bank Cannabis Genetics,QK29N00000000000000000000,Panama Punch x Grape God Bud,ERYTCXLNWN000000000000000 x 9XVU7W4M6N000000000000000,22
Hashplant x Trainwreck,9XVU7EGJF7000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/hashplant-x-trainwreck,https://www.cannabisreports.com/images/extracts/e/full_e5b186c38010bf4e032ad3217235e98bcdda3dfc.jpg,Unknown Breeder,9XVU700000000000000000000,Hash Plant (Hashplant) x Trainwreck,9XVU7L94RY000000000000000 x 9XVU76K2ZH000000000000000,22
Fifty-Four (Surf's Up),9XVU72MA3X000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/fifty-four,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Pineapple Thai x Indica 50,9XVU7JDCMZ000000000000000 x AMUFMYVZ66000000000000000,22
#32 x Face-Off OG Kush,NRJKF4797R000000000000000,https://www.cannabisreports.com/strain-reports/archive-seed-bank/32-x-face-off-og-kush,https://www.cannabisreports.com/images/strains/no_image.png,Archive Seed Bank,NRJKF00000000000000000000,#32 x Faceoff Cut OG Kush,NRJKFUN7AM000000000000000 x 9XVU72PWPG000000000000000,22
Khalifa Kush x Cookies,9XVU7NKPCR000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/khalifa-kush-x-cookies,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Khalifa Kush (KK) x Girl Scout Cookies,9XVU74Y7JT000000000000000 x 4KXM32V9YF000000000000000,22
Blueberry x Jack Berry,JZJFUJHVZ9000000000000000,https://www.cannabisreports.com/strain-reports/sannies-seeds/blueberry-x-jack-berry,https://www.cannabisreports.com/images/strains/no_image.png,Sannie's Seeds,JZJFU00000000000000000000,Blueberry x Jack Berry,W74AFGH22Z000000000000000 x 9XVU7JAPE6000000000000000,22
Purple Cookie All-Star,C2M2TZJ2XP000000000000000,https://www.cannabisreports.com/strain-reports/johnstons-genetics/purple-cookie-all-star,https://www.cannabisreports.com/images/strains/4/full_4f12c61a54ef2ea9b6395c5994650eb068b89068.jpg,Johnston's Genetics,C2M2T00000000000000000000,Candyland (Grandma's Batch) x Grandma's Sugar Cookies,TTM6QYKPND000000000000000 x C2M2TZRDXH000000000000000,22
Hawaiian Tricot Sativa,9XVU7KNZLV000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/hawaiian-tricot-sativa,https://www.cannabisreports.com/images/strains/f/full_fc3bd71973619affcb3d3937920df7319a702d90.jpg,Unknown Breeder,9XVU700000000000000000000,,,22
T-1 (This Is The Shit),9XVU72LRYN000000000000000,https://www.cannabisreports.com/strain-reports/craft/tits-this-is-the-shit,https://www.cannabisreports.com/images/strains/0/full_0e2958c25e6869632fbedd270ad10fc3e800cdcb.jpg,CRAFT,HFTDQ00000000000000000000,Sour Diesel x Forum Girl Scout Cookies (cut),9XVU7KVPFZ000000000000000 x 9XVU7P2XAC000000000000000,22
Sour Blackberry Diesel,PAG9CY9RX3000000000000000,https://www.cannabisreports.com/strain-reports/holy-smoke-seeds/sour-blackberry-diesel,https://www.cannabisreports.com/images/strains/d/full_dece84e1b80675d869a33fc6f8afc87bf94864d7.jpg,Holy Smoke Seeds,PAG9C00000000000000000000,East Coast Sour Diesel v3 (ECSD) x Plushberry,9XVU74A6QR000000000000000 x 3CV7EVF6MR000000000000000,22
Strawberry Sour Diesel,LVYVHKE9NH000000000000000,https://www.cannabisreports.com/strain-reports/the-devils-harvest/strawberry-sour-diesel,https://www.cannabisreports.com/images/strains/9/full_95ccc79ee8e64b22ae37aae8c583fa1499aea8e5.jpg,The Devils Harvest,LVYVH00000000000000000000,Strawberry Cough / Sour Diesel,9XVU7C74RT000000000000000 / 9XVU7KVPFZ000000000000000,22
Sensi Skunk/Trainwreck,9XVU7DNE3H000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/sensi-skunktrainwreck,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Sensi Skunk / Trainwreck,VUJCJ3DLXM000000000000000 / 9XVU76K2ZH000000000000000,22
White Strawberry Skunk,F9ZQX2EWCR000000000000000,https://www.cannabisreports.com/strain-reports/strain-hunters-seed-bank/white-strawberry-skunk,https://www.cannabisreports.com/images/strains/5/full_5f28c6f84c5a0b4e9e78649af365e784e0b5dd64.jpg,Strain Hunters Seed Bank,F9ZQX00000000000000000000,Swiss Erdbeer,9XVU7VG3YY000000000000000,22
Chocolate Chip Cookies,YFTYM9ZM62000000000000000,https://www.cannabisreports.com/strain-reports/riot-seeds/chocolate-chip-cookies,https://www.cannabisreports.com/images/strains/5/full_5242adea54a47f66cab1be4438416598572514de.jpg,Riot Seeds,YFTYM00000000000000000000,Chocolate Thai x Girl Scout Cookies,W74AFFCREE000000000000000 x 4KXM32V9YF000000000000000,22
Bubba D (Bubba Diesel),U9XW7WMEDA000000000000000,https://www.cannabisreports.com/strain-reports/bodhi-seeds/bubba-d-bubba-d,https://www.cannabisreports.com/images/strains/2/full_23eaf9412c0e771b3b83d8683e564539015de92f.jpg,Bodhi Seeds,U9XW700000000000000000000,Bubba Kush x Sour Diesel,9XVU7FNJZR000000000000000 x 9XVU7KVPFZ000000000000000,22
Covelo Cut Sour Diesel,9XVU7743QX000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/covelo-cut-sour-diesel,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Sour Diesel,9XVU7KVPFZ000000000000000,22
Sugar Baby (Kiwiseeds),GF7TV7C7MC000000000000000,https://www.cannabisreports.com/strain-reports/kiwiseeds/sugar-baby-kiwiseeds,https://www.cannabisreports.com/images/strains/d/full_d3bd113ada4ad15fa331ef385590c0a70272884f.jpg,Kiwiseeds,GF7TV00000000000000000000,Mt Cook x Lowryder #2,GF7TVGFVJW000000000000000 x CZQPUVA6ZE000000000000000,22
Humboldt County Indica,9XVU7EK66P000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/humboldt-county-indica,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,22
Double Aurora Borealis,JX73GWE4T7000000000000000,https://www.cannabisreports.com/strain-reports/redeyed-genetics/double-aurora-borealis,https://www.cannabisreports.com/images/strains/no_image.png,RedEyed Genetics,JX73G00000000000000000000,Northern Lights #5 x Double Barrel OG,VUJCJ4MPQ2000000000000000 x JKH3RLWDYC000000000000000,22
Cali Jack (Bubba Jack),67JZJFX2TM000000000000000,https://www.cannabisreports.com/strain-reports/medicann-seeds/cali-jack-bubba-jack,https://www.cannabisreports.com/images/strains/f/full_fa347811455027295231e7131cc93fef56d83b3d.jpg,Medicann Seeds,67JZJ00000000000000000000,Jack Herer x Bubba Kush,VUJCJ4TYMG000000000000000 x 9XVU7FNJZR000000000000000,22
Blueberry x Hindu Kush,CDQF4RCDTD000000000000000,https://www.cannabisreports.com/strain-reports/makka-seeds/blueberry-x-hindu-kush,https://www.cannabisreports.com/images/strains/no_image.png,Makka Seeds,CDQF400000000000000000000,Blueberry x Hindu Kush,W74AFGH22Z000000000000000 x D4C6CDUFWC000000000000000,22
Chem Dawg x Afghani #1,9XVU7PQCPP000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/chem-dawg-x-afghani-1,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Chem Dawg (Chemdog) x Afghani #1,9XVU762EQ4000000000000000 x VUJCJHX2PY000000000000000,22
Mendocino Thunder Fuck,6KGN2UPM2N000000000000000,https://www.cannabisreports.com/strain-reports/mtg-seeds/mendocino-thunder-fuck,https://www.cannabisreports.com/images/strains/no_image.png,MTG Seeds,6KGN200000000000000000000,Alaskan Matanuska Thunderfuck x Sour Diesel,9XVU7NHYQT000000000000000 x 9XVU7KVPFZ000000000000000,22
Star Gazer (Stargazer),JU393UZ7FE000000000000000,https://www.cannabisreports.com/strain-reports/delta-9-labs/star-gazer-stargazer,https://www.cannabisreports.com/images/strains/c/full_ce6f400658879cf20b2437acfed4636436119bd6.jpg,Delta-9 Labs,JU39300000000000000000000,Warlock x AK-47 x Sensi Star,F7PJAQTF9P000000000000000 x CYGU94JYKY000000000000000 x WN69KZZAZP000000000000000,22
Matanuska Tundra (ATF),UE24XQDLMR000000000000000,https://www.cannabisreports.com/strain-reports/sagarmatha-seeds/matanuska-tundra,https://www.cannabisreports.com/images/strains/7/full_762be6280b6a20db67b187682822aea04b142e88.jpg,Sagarmatha Seeds,UE24X00000000000000000000,Alaskan Matanuska Thunderfuck / ???,9XVU7NHYQT000000000000000 / ???,22
Acapulco Gold Landrace,9XVU7RKUYL000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/acapulco-gold-landrace,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Landraces,9XVU7R9C3R000000000000000,22
Big Buddha Blue Cheese,X3J9UX7UW7000000000000000,https://www.cannabisreports.com/strain-reports/big-buddha-seeds/big-buddha-blue-cheese,https://www.cannabisreports.com/images/strains/9/full_97045a5c8bf53338fb8de4b2d265e14473fa1819.jpg,Big Buddha Seeds,X3J9U00000000000000000000,Big Buddha Cheese x (Original UK Cheese x Blueberry),X3J9UEZXAH000000000000000 x (9XVU7F6AMW000000000000000 x W74AFGH22Z000000000000000),22
"Hoosier, Hoot'n Hollar",34P7PRUVF3000000000000000,https://www.cannabisreports.com/strain-reports/super-sativa-seed-club/hoosier-hootn-hollar,https://www.cannabisreports.com/images/strains/no_image.png,Super Sativa Seed Club,34P7P00000000000000000000,,,22
Jilly Bean (Jillybean),3CV7EX6LD2000000000000000,https://www.cannabisreports.com/strain-reports/tga-seeds/jilly-bean-jillybean,https://www.cannabisreports.com/images/strains/7/full_76e2dd9f1f40aabea312dafa1d618cc3fdb45e98.jpg,TGA Seeds,3CV7E00000000000000000000,Orange Velvet x Space Queen,3CV7EX99NH000000000000000 x 3CV7EGZYAP000000000000000,22
Orange Peako Cambodian,HJKDD24ZRW000000000000000,https://www.cannabisreports.com/strain-reports/reeferman-seeds/orange-peako-cambodian,https://www.cannabisreports.com/images/strains/no_image.png,Reeferman Seeds,HJKDD00000000000000000000,Nepalese Landrace x Cambodian Landrace,9XVU7XEFJK000000000000000 x UE24XMX6WJ000000000000000,22
The Other Crystal Ship,9XVU76M39E000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/the-other-crystal-ship,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,22
Tropical Treat Special,9XVU7X3LPA000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/tropical-treat-special,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,22
Professional Blueberry,9XVU7L2NPE000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/professional-blueberry,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,22
Romulan x Cotton Candy,9XVU7CWZ29000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/romulan-x-cotton-candy,https://www.cannabisreports.com/images/strains/e/full_e244d8303e796cbcf78c0bfef413a02b5c6cd446.jpg,Unknown Breeder,9XVU700000000000000000000,Romulan x Cotton Candy,ZHMH7T3R2L000000000000000 x ZHMH7VYQKJ000000000000000,22
Northern Light x Shiva,9XVU7VH3PY000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/northern-light-x-shiva,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Northern Light x Shiva Shanti,H6FVQ9RAZ3000000000000000 x VUJCJ2F77R000000000000000,22
Northern Light Special,3AQF2RXVDN000000000000000,https://www.cannabisreports.com/strain-reports/kc-brains/northern-light-special,https://www.cannabisreports.com/images/strains/2/full_2aef0bffcf120c4369d69d78b7d447f6dd04e286.jpg,K.C. Brains,3AQF200000000000000000000,Northern Lights,2NGAWWTJNV000000000000000,22
Northern Lights x Haze,9XVU7X7J6U000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/northern-lights-x-haze,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Northern Lights x Haze,2NGAWWTJNV000000000000000 x 9XVU7WJQCD000000000000000,22
Reeferman's Grapefruit,HJKDD76PWX000000000000000,https://www.cannabisreports.com/strain-reports/reeferman-seeds/reefermans-grapefruit,https://www.cannabisreports.com/images/strains/no_image.png,Reeferman Seeds,HJKDD00000000000000000000,Grapefruit,9XVU724HXA000000000000000,22
Mazar-i-Sharif Afghani,VUJCJN6GP7000000000000000,https://www.cannabisreports.com/strain-reports/sensi-seeds/mazar-i-sharif-afghani,https://www.cannabisreports.com/images/strains/no_image.png,Sensi Seeds,VUJCJ00000000000000000000,Landraces,9XVU7R9C3R000000000000000,22
Automatic White Moscow,9XVU722FJZ000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/automatic-white-moscow,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Ruderalis / White Moscow,3PJMJT4JXC000000000000000 / 9XVU7XLHJL000000000000000,22
Ed Rosenthal Super Bud,VUJCJRTMX7000000000000000,https://www.cannabisreports.com/strain-reports/sensi-seeds/ed-rosenthal-super-bud,https://www.cannabisreports.com/images/strains/b/full_b85b0830911bde720fde2509881a2486f23fbb86.jpg,Sensi Seeds,VUJCJ00000000000000000000,Afghani Landrace x North Indian Landrace x Durban Poison x Mexican Landrace x Jamaican Landrace,9XVU7HGAVW000000000000000 x K3TYMMC3ZX000000000000000 x 4PWKMLXKUX000000000000000 x 9XVU72AR9X000000000000000 x VUJCJWUN2F000000000000000,22
G13 Haze x Haze Heaven,L2NZKKCF73000000000000000,https://www.cannabisreports.com/strain-reports/soma-seeds/g13-haze-x-haze-heaven,https://www.cannabisreports.com/images/strains/no_image.png,Soma Seeds,L2NZK00000000000000000000,G13 Haze x Haze Heaven,L2NZKNCHM3000000000000000 x L2NZKWZFNA000000000000000,22
G13 Haze x White Light,L2NZKEWYYT000000000000000,https://www.cannabisreports.com/strain-reports/soma-seeds/g13-haze-x-white-light,https://www.cannabisreports.com/images/strains/no_image.png,Soma Seeds,L2NZK00000000000000000000,G13 Haze x White Light,L2NZKNCHM3000000000000000 x L2NZKLNLN9000000000000000,22
Atomic Northern Lights,MQWWRGM9Z3000000000000000,https://www.cannabisreports.com/strain-reports/dr-atomic/atomic-northern-lights,https://www.cannabisreports.com/images/strains/8/full_8ca7a054491d6b6881e81da96f1a10e0b38a1821.jpg,Dr. Atomic,MQWWR00000000000000000000,Northern Lights #5 / ???,VUJCJ4MPQ2000000000000000 / ???,22
Dr. Weed Indica Purple,JDDJ96N6Z6000000000000000,https://www.cannabisreports.com/strain-reports/exotic-seed-co/dr-weed-indica-purple,https://www.cannabisreports.com/images/strains/no_image.png,Exotic Seed Co.,JDDJ900000000000000000000,,,22
AK-47 x Northern White,9XVU772EM4000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/ak-47-x-northern-white,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,AK-47 x Northern White,CYGU94JYKY000000000000000 x 9XVU72GNMW000000000000000,22
11:59 Armageddon Skunk,22ZQ6UETMA000000000000000,https://www.cannabisreports.com/strain-reports/pukka-seeds/1159-armageddon-skunk,https://www.cannabisreports.com/images/strains/3/full_39c653b396a61321bc7127c3f89b40eb23cd771a.jpg,Pukka Seeds,22ZQ600000000000000000000,G-13 (G13) x Maple Leaf Indica x Big Bud (Sensi Seeds),2NGAWHQVHG000000000000000 x VUJCJL99TT000000000000000 x VUJCJ24GRA000000000000000,22
G13 x Blueberry Sativa,HJKDD2JEHT000000000000000,https://www.cannabisreports.com/strain-reports/reeferman-seeds/g13-x-blueberry-sativa,https://www.cannabisreports.com/images/strains/no_image.png,Reeferman Seeds,HJKDD00000000000000000000,G-13 (G13) x Blueberry Sativa,2NGAWHQVHG000000000000000 x W74AF7DWGW000000000000000,22
NL/OG Kush x Pure Kush,9XVU766CXX000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/nlog-kush-x-pure-kush,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,(Northern Lights x OG Kush) x Pure Kush (PK),(2NGAWWTJNV000000000000000 x 9XVU7GD2AP000000000000000) x 9XVU77XYUV000000000000000,22
Northern Lights (BCBD),WPUC6XEFXQ000000000000000,https://www.cannabisreports.com/strain-reports/bc-bud-depot/northern-lights-bcbd,https://www.cannabisreports.com/images/strains/no_image.png,BC Bud Depot,WPUC600000000000000000000,Atomic Northern Lights x Holland NL VI,MQWWRGM9Z3000000000000000 x 9XVU7CKC7N000000000000000,22
South African Landrace,VUJCJQNMAE000000000000000,https://www.cannabisreports.com/strain-reports/sensi-seeds/south-african-landrace,https://www.cannabisreports.com/images/strains/no_image.png,Sensi Seeds,VUJCJ00000000000000000000,Landraces,9XVU7R9C3R000000000000000,22
Cuddle Fish Hash Plant,9XVU7KL6TR000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/cuddle-fish-hash-plant,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,,,22
Indica Northern Lights,JDDJ9QRFGF000000000000000,https://www.cannabisreports.com/strain-reports/exotic-seed-co/indica-northern-lights,https://www.cannabisreports.com/images/strains/no_image.png,Exotic Seed Co.,JDDJ900000000000000000000,,,22
Purple Northern Lights,9XVU7UJX6N000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/purple-northern-lights,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Northern Lights,2NGAWWTJNV000000000000000,22
Virgin (Burmese Skunk),32UQEKGE9R000000000000000,https://www.cannabisreports.com/strain-reports/vancouver-island-seed-company/virgin-burmese-skunk,https://www.cannabisreports.com/images/strains/a/full_ab3790f9a13e8bbe0b9a697ce12de5eb08456e55.jpg,Vancouver Island Seed Company,32UQE00000000000000000000,Super Skunk x Burmese,2NGAWPEK4A000000000000000 x 32UQEP99L6000000000000000,22
Cotton Candy x Romulan,9XVU7XYQLR000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/cotton-candy-x-romulan,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Cotton Candy x Romulan,ZHMH7VYQKJ000000000000000 x ZHMH7T3R2L000000000000000,22
Silver Goo (Third Eye),9XVU7K27VW000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/silver-goo-third-eye,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,Afgoo (Afgooey / Afghooey) x Silver Haze,9XVU7P37HL000000000000000 x 2NGAWV9T99000000000000000,22
Four-Way (Sensi Seeds),VUJCJTLRLW000000000000000,https://www.cannabisreports.com/strain-reports/sensi-seeds/four-way-sensi-seeds,https://www.cannabisreports.com/images/strains/b/full_b34cb384b1eaf28b180304b181ddec643b98c55b.jpg,Sensi Seeds,VUJCJ00000000000000000000,Indian Landrace / Pakistani Landrace / Afghani Landrace / Skunk #1,VUJCJZCQPK000000000000000 / 9XVU7UJ7QU000000000000000 / 9XVU7HGAVW000000000000000 / VUJCJY6ZUC000000000000000,22
White Label Jack Herer,6Z3CVCG6UE000000000000000,https://www.cannabisreports.com/strain-reports/white-label-co/white-label-jack-herer,https://www.cannabisreports.com/images/strains/e/full_e0e066d9a4e79f8c149dd89b93f0dd102efafccc.jpg,White Label Co.,6Z3CV00000000000000000000,,,22
Hash Plant (THC Seeds),L2KQMFEX2H000000000000000,https://www.cannabisreports.com/strain-reports/thc-seeds/hash-plant-thc-seeds,https://www.cannabisreports.com/images/strains/c/full_c1fafa4f9a9ea7fa7d4d9fc77f58d0be9dd3df64.jpg,THC Seeds,L2KQM00000000000000000000,,,22
Grapefruit x Blueberry,VQJGUKLPYP000000000000000,https://www.cannabisreports.com/strain-reports/chimera-seeds/grapefruit-x-blueberry,https://www.cannabisreports.com/images/strains/no_image.png,Chimera Seeds,VQJGU00000000000000000000,Grapefruit x Blueberry,9XVU724HXA000000000000000 x W74AFGH22Z000000000000000,22
Northern Lights x AK47,4CXQXPQVMC000000000000000,https://www.cannabisreports.com/strain-reports/joey-weed/northern-lights-x-ak47,https://www.cannabisreports.com/images/strains/7/full_766e369523d8ada868504039cbae649346013009.jpg,Joey Weed,4CXQX00000000000000000000,Northern Lights x AK-47,2NGAWWTJNV000000000000000 x CYGU94JYKY000000000000000,22
North African Landrace,32UQEAWMAX000000000000000,https://www.cannabisreports.com/strain-reports/vancouver-island-seed-company/north-african-landrace,https://www.cannabisreports.com/images/strains/no_image.png,Vancouver Island Seed Company,32UQE00000000000000000000,Landraces,9XVU7R9C3R000000000000000,22
Blueberry (Sagamartha),UE24XLLVJ3000000000000000,https://www.cannabisreports.com/strain-reports/sagarmatha-seeds/blueberry-sagamartha,https://www.cannabisreports.com/images/strains/no_image.png,Sagarmatha Seeds,UE24X00000000000000000000,,,22
Hash Plant (Hashplant),9XVU7L94RY000000000000000,https://www.cannabisreports.com/strain-reports/unknown-breeder/hash-plant-hashplant,https://www.cannabisreports.com/images/strains/no_image.png,Unknown Breeder,9XVU700000000000000000000,This should be used in places where it is unsure which Hash Plant was used.,This should be used in places where it is unsure which Hash Plant was used.,22
RGD (Really Good Dope),QF6DK2WM69000000000000000,https://www.cannabisreports.com/strain-reports/great-white-north-seed-co/rgd-really-good-dope,https://www.cannabisreports.com/images/strains/2/full_2bf78b59e325fc056f7c8ca37f6f89a2d0c1e5af.jpg,Great White North Seed Co.,QF6DK00000000000000000000,Northern Lights / Haze,2NGAWWTJNV000000000000000 / 9XVU7WJQCD000000000000000,22
Destroyer x Bangi Haze,7P4UTHNT6D000000000000000,https://www.cannabisreports.com/strain-reports/canna-biogen/destroyer-x-bangi-haze,https://www.cannabisreports.com/images/strains/no_image.png,Canna BioGen,7P4UT00000000000000000000,Destroyer x Bangi Haze,7P4UT3V2GV000000000000000 x JCEP2RAXP2000000000000000,22
